SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
90_D2_F,2,MVC,Mock,I4512i,90,D2,29,2,Fecal
91_D2_F,1,MVMC,Mock,Mock,91,D2,29,2,Fecal
92_D2_F,3,EVC,Enterisol,I4512i,92,D2,29,2,Fecal
96_D2_F,2,MVC,Mock,I4512i,96,D2,29,2,Fecal
98_D2_F,1,MVMC,Mock,Mock,98,D2,29,2,Fecal
99_D2_F,3,EVC,Enterisol,I4512i,99,D2,29,2,Fecal
1971_D3_F,1,MVMC,Mock,Mock,1971,D3,30,3,Fecal
1972_D3_F,2,MVC,Mock,I4512i,1972,D3,30,3,Fecal
1973_D3_F,3,EVC,Enterisol,I4512i,1973,D3,30,3,Fecal
1975_D3_F,2,MVC,Mock,I4512i,1975,D3,30,3,Fecal
1977_D3_F,3,EVC,Enterisol,I4512i,1977,D3,30,3,Fecal
1978_D3_F,2,MVC,Mock,I4512i,1978,D3,30,3,Fecal
1979_D3_F,1,MVMC,Mock,Mock,1979,D3,30,3,Fecal
1980_D3_F,3,EVC,Enterisol,I4512i,1980,D3,30,3,Fecal
1981_D3_F,1,MVMC,Mock,Mock,1981,D3,30,3,Fecal
1984_D3_F,3,EVC,Enterisol,I4512i,1984,D3,30,3,Fecal
1986_D3_F,2,MVC,Mock,I4512i,1986,D3,30,3,Fecal
1988_D3_F,1,MVMC,Mock,Mock,1988,D3,30,3,Fecal
1989_D3_F,2,MVC,Mock,I4512i,1989,D3,30,3,Fecal
1990_D3_F,3,EVC,Enterisol,I4512i,1990,D3,30,3,Fecal
1991_D3_F,1,MVMC,Mock,Mock,1991,D3,30,3,Fecal
1993_D3_F,3,EVC,Enterisol,I4512i,1993,D3,30,3,Fecal
1995_D3_F,2,MVC,Mock,I4512i,1995,D3,30,3,Fecal
2000_D3_F,3,EVC,Enterisol,I4512i,2000,D3,30,3,Fecal
5374_D3_F,1,MVMC,Mock,Mock,5374,D3,30,3,Fecal
5375_D3_F,2,MVC,Mock,I4512i,5375,D3,30,3,Fecal
5377_D3_F,1,MVMC,Mock,Mock,5377,D3,30,3,Fecal
5379_D3_F,3,EVC,Enterisol,I4512i,5379,D3,30,3,Fecal
5381_D3_F,2,MVC,Mock,I4512i,5381,D3,30,3,Fecal
5382_D3_F,3,EVC,Enterisol,I4512i,5382,D3,30,3,Fecal
5393_D3_F,2,MVC,Mock,I4512i,5393,D3,30,3,Fecal
5394_D3_F,3,EVC,Enterisol,I4512i,5394,D3,30,3,Fecal
5396_D3_F,3,EVC,Enterisol,I4512i,5396,D3,30,3,Fecal
5397_D3_F,1,MVMC,Mock,Mock,5397,D3,30,3,Fecal
5400_D3_F,1,MVMC,Mock,Mock,5400,D3,30,3,Fecal
5402_D3_F,2,MVC,Mock,I4512i,5402,D3,30,3,Fecal
5404_D3_F,1,MVMC,Mock,Mock,5404,D3,30,3,Fecal
5406_D3_F,2,MVC,Mock,I4512i,5406,D3,30,3,Fecal
5407_D3_F,3,EVC,Enterisol,I4512i,5407,D3,30,3,Fecal
